Title,Video url,Duration in minutes
Backstreet Boys - I Want It That Way (Karaoke Version),https://www.youtube.com/watch?v=NxilU56kPu0,4.2
Kelly Clarkson - Because Of You (Karaoke Version),https://www.youtube.com/watch?v=WWJyJGY1T2M,4.03
The Cranberries - Zombie (Karaoke Version),https://www.youtube.com/watch?v=m8CEEkqQiiY,5.28
Frank Sinatra - My Way (Karaoke Version),https://www.youtube.com/watch?v=tAEek8nO11c,4.88
Adele - Someone Like You (Karaoke Version),https://www.youtube.com/watch?v=BPRoNqB2XK8,5.03
Taylor Swift - Love Story (Backing Track),https://www.youtube.com/watch?v=ZqY3eONjX5k,4.25
Lionel Richie - Stuck On You (Karaoke Version),https://www.youtube.com/watch?v=s8CszZUic4w,3.45
Charlie Puth - One Call Away (Karaoke Version),https://www.youtube.com/watch?v=1hx2ynaUaHY,3.87
Adele - Rolling In The Deep (Karaoke Version),https://www.youtube.com/watch?v=LOd3u6FtkAk,4.12
Tangled - I See The Light (Karaoke Version),https://www.youtube.com/watch?v=FLgWioSXAQU,3.93
Goo Goo Dolls - Iris (Karaoke Version),https://www.youtube.com/watch?v=bi0hyLXusjo,3.93
Calum Scott - Dancing On My Own (Karaoke Version),https://www.youtube.com/watch?v=DvEXv4Shx7s,4.9
The Calling - Wherever You Will Go (Karaoke Version),https://www.youtube.com/watch?v=sTGFkbjK3IU,3.62
Olivia Rodrigo - traitor (Karaoke Version),https://www.youtube.com/watch?v=wvpoGzmd5v4,4.22
One Direction - Night Changes (Karaoke Version),https://www.youtube.com/watch?v=kH9_meN7WqQ,4.1
Miley Cyrus - Wrecking Ball (Karaoke Version),https://www.youtube.com/watch?v=S78RmvtH79Y,4
"ZAYN, Zhavia Ward - A Whole New World (Karaoke Version)",https://www.youtube.com/watch?v=OfwnWaFP_bc,4.25
Aerosmith - I Don't Want To Miss A Thing (Karaoke Version),https://www.youtube.com/watch?v=s9Qc54Jp-6M,5.63
Beyonce - If I Were A Boy (Karaoke Version),https://www.youtube.com/watch?v=56kZ5BYfO6E,4.45
Demi Lovato - Stone Cold (Karaoke Version),https://www.youtube.com/watch?v=yFOxf2Y0H1g,3.85
Sam Smith - Stay With Me (Karaoke Version),https://www.youtube.com/watch?v=7C8034DlmIM,3.2
Little Mix ft. Jason Derulo - Secret Love Song (Karaoke Version),https://www.youtube.com/watch?v=FWJtQj_Okpc,4.78
"Olivia Newton John - Hopelessly Devoted To You from ""Grease"" (Karaoke Version)",https://www.youtube.com/watch?v=jF4xOhCdrlo,3.33
Andra Day - Rise Up (Karaoke Version),https://www.youtube.com/watch?v=J_E1mLcgYq4,4.67
Sam Smith - Lay Me Down (Karaoke Version),https://www.youtube.com/watch?v=UuGannvDvQk,4.1
Frozen 2 - Into The Unknown (Karaoke Version),https://www.youtube.com/watch?v=9rnQFsbDa3o,3.65
Naomi Scott - Speechless (Karaoke Version),https://www.youtube.com/watch?v=wqE5j1TQWVs,3.62
Vance Joy - Riptide (Karaoke Version),https://www.youtube.com/watch?v=XWq1hK6XtjU,3.77
"John Denver - Take Me Home, Country Roads (Karaoke Version)",https://www.youtube.com/watch?v=7aNW9hRKYA8,3.63
Meghan Trainor - Dear Future Husband (Karaoke Version),https://www.youtube.com/watch?v=Ny2EbG0ddx4,3.52
Keane - Somewhere Only We Know (Karaoke Version),https://www.youtube.com/watch?v=l5shwZTwHec,4.22
Eric Clapton - Wonderful Tonight (Karaoke Version),https://www.youtube.com/watch?v=WDXiPavQjNg,3.8
4 Non Blondes - What's Up (Karaoke Version),https://www.youtube.com/watch?v=oLShwvZopls,5.25
Simple Plan - Perfect (Karaoke Version),https://www.youtube.com/watch?v=5f15CcwlluQ,4.85
"Jessie J, Ariana Grande and Nicki Minaj - Bang Bang (Karaoke Version)",https://www.youtube.com/watch?v=u1OG4gBcPaA,3.63
Wham! - Last Christmas (Single Edit) (Karaoke Version),https://www.youtube.com/watch?v=kaBRnhxPLdE,4.9
"Ysabelle - I Like You So Much, You'll Know It (Karaoke Version)",https://www.youtube.com/watch?v=wHrs4LjdKw4,3.72
John Lennon - Imagine (Karaoke Version),https://www.youtube.com/watch?v=MR70Dg0_o1A,3.43
Rod Stewart - I Don't Want To Talk About It (Karaoke Version),https://www.youtube.com/watch?v=BdReRY0VIRg,4.83
Lil Nas X ft. Billy Ray Cyrus - Old Town Road (Remix) (Karaoke Version),https://www.youtube.com/watch?v=exPFJVbIz0c,2.9
John Legend - All Of Me (Karaoke Version),https://www.youtube.com/watch?v=6VoT-KrseHA,4.78
Ellie Goulding - Love Me Like You Do (Karaoke Version),https://www.youtube.com/watch?v=tW0UjwMOQz8,4.6
OneRepublic - Counting Stars (Karaoke Version),https://www.youtube.com/watch?v=3EG3CfTv4lQ,4.6
Bon Jovi - Always (Karaoke Version),https://www.youtube.com/watch?v=RBgimRYxorE,6.25
Frank Sinatra - Fly Me To The Moon (Karaoke Version),https://www.youtube.com/watch?v=VvjWl7lvrnk,2.77
The Chainsmokers ft. Halsey - Closer (Karaoke Version),https://www.youtube.com/watch?v=r0A_1UbB70o,4.23
Britney Spears - ...Baby One More Time (Karaoke Version),https://www.youtube.com/watch?v=PYpU2TxIzAM,4.12
Taylor Swift - Back To December (Karaoke Version),https://www.youtube.com/watch?v=VHpK1i6XnkY,5.47
"gnash - i hate u, i love u (feat. Olivia O'Brien) (Karaoke Version)",https://www.youtube.com/watch?v=_Bti9H8Y24U,4.48
"Shawn Mendes, Camila Cabello - Señorita (Karaoke Version)",https://www.youtube.com/watch?v=kC8jBnooHgs,3.5
Ariana Grande - 7 Rings (Karaoke Version),https://www.youtube.com/watch?v=7BfhCUB_YkI,3.15
Amy Winehouse - Back To Black (Karaoke Version),https://www.youtube.com/watch?v=nturlhtt7WA,4.37
Ariana Grande - Dangerous Woman (Karaoke Version),https://www.youtube.com/watch?v=jppqAygqVTc,4.4
Imagine Dragons - Demons (Karaoke Version),https://www.youtube.com/watch?v=TsCPrboDunw,3.38
Chris Stapleton - Tennessee Whiskey (Karaoke Version),https://www.youtube.com/watch?v=DVxVXBpi7vc,5.25
Evanescence - Bring Me To Life (Karaoke Version),https://www.youtube.com/watch?v=frpfRwGv6KU,4.6
Demi Lovato - Skyscraper (Karaoke Version),https://www.youtube.com/watch?v=PHfZnrXNyiA,4.4
Emeli Sandé - Read All About It Pt. III (Karaoke Version),https://www.youtube.com/watch?v=KDbafD4FQRk,5.05
Olivia Rodrigo - happier (Karaoke Version),https://www.youtube.com/watch?v=or1_3KMpp3Y,3.37
Hozier - Take Me To Church (Karaoke Version),https://www.youtube.com/watch?v=2bb67GtsI80,4.2
Rihanna - Take A Bow (Karaoke Version),https://www.youtube.com/watch?v=femohd7zllQ,4.72
Miley Cyrus - Flowers (Karaoke Version),https://www.youtube.com/watch?v=fO4wsNsXtDg,3.48
Journey - Don't Stop Believin' (Karaoke Version),https://www.youtube.com/watch?v=c8wn2fMYvns,4.6
Billie Eilish - bad guy (Karaoke Version),https://www.youtube.com/watch?v=GsFlbMS7UIc,3.55
Olivia Rodrigo - All I Want (Karaoke Version),https://www.youtube.com/watch?v=DqqsTljY3PA,3.23
Sam Smith - Too Good At Goodbyes (Karaoke Version),https://www.youtube.com/watch?v=yiOHvS4rP5c,3.82
Taylor Swift - Shake It Off (Karaoke Version),https://www.youtube.com/watch?v=-i5MU14JLdw,4.17
Justin Bieber - Sorry (Karaoke Version),https://www.youtube.com/watch?v=9CLvFIsp9oo,3.9
Whitney Houston - The Greatest Love Of All (Karaoke Version),https://www.youtube.com/watch?v=aQEg6dwLFDc,5.27
The Script - The Man Who Can't Be Moved (Karaoke Version),https://www.youtube.com/watch?v=Im2A5pbWis8,4.22
Duncan Laurence - Arcade (Karaoke Version),https://www.youtube.com/watch?v=19Kju46x324,3.27
Ben E. King - Stand By Me (Karaoke Version),https://www.youtube.com/watch?v=OU3699R53rs,3.4
Richard Marx - Right Here Waiting (Karaoke Version),https://www.youtube.com/watch?v=jZ8o_ZGt9QY,4.55
Magic! - Rude (Karaoke Version),https://www.youtube.com/watch?v=QQre5RbiyGM,4.05
Tangled - When Will My Life Begin (Karaoke Version),https://www.youtube.com/watch?v=aoVtLhhPtSc,2.77
Miley Cyrus - Party In The USA (Karaoke Version),https://www.youtube.com/watch?v=kfa-26JfdDA,3.97
The Greatest Showman - Rewrite The Stars (Karaoke Version),https://www.youtube.com/watch?v=mayU6Gqpg9Y,4.1
Miley Cyrus - Angels Like You (Karaoke Version),https://www.youtube.com/watch?v=H5iZ0PMJa0U,3.67
Queen - Love Of My Life (Karaoke Version),https://www.youtube.com/watch?v=rGTHC4I_JPk,3.83
Katy Perry - Roar (Karaoke Version),https://www.youtube.com/watch?v=hMF4h0gYN-0,4.17
The Chainsmokers feat. Daya - Don't Let Me Down (Karaoke Version),https://www.youtube.com/watch?v=5FHDnD-VcHI,4.05
"A Great Big World, Christina Aguilera - Say Something (Karaoke Version, No Backing Vocals)",https://www.youtube.com/watch?v=DhQ46uh2vBU,4.4
Jason Mraz - I Won't Give Up (Karaoke Version),https://www.youtube.com/watch?v=UdxPKQ0_PdE,4.4
Justin Bieber - Love Yourself (Karaoke Version),https://www.youtube.com/watch?v=mY00uFz5bTA,4.28
Meghan Trainor - All About That Bass (Karaoke Version),https://www.youtube.com/watch?v=m3dSO95AALI,3.63
The Beatles - Let It Be (Karaoke Version),https://www.youtube.com/watch?v=OhRUYf_yn_s,4.02
The Police - Every Breath You Take (Karaoke Version),https://www.youtube.com/watch?v=gKjIiaAXfDs,4.32
Mark Ronson ft. Amy Winehouse - Valerie (Karaoke Version),https://www.youtube.com/watch?v=yH2mILMKC-0,3.98
Dua Lipa - New Rules (Karaoke Version),https://www.youtube.com/watch?v=TsEYfkT4eF8,3.8
Shawn Mendes - Treat You Better (Karaoke Version),https://www.youtube.com/watch?v=QIJQ7dxuKgY,3.68
"Mena Massoud, Naomi Scott  - A Whole New World (Karaoke Version)",https://www.youtube.com/watch?v=4hwpLK7CWVM,3.02
Christina Perri - A Thousand Years (Karaoke Version),https://www.youtube.com/watch?v=85zr83teaug,4.7
George Michael - Careless Whisper (Karaoke Version),https://www.youtube.com/watch?v=1TIeDbnzp9M,5.73
